Row Labels,Count of usd pledged,Average of usd pledged2,Sum of usd pledged3
Art,28153,2534.05711,71341309.82
Comics,10819,5344.016859,57816918.4
Crafts,8809,1179.190619,10387490.16
Dance,3767,2962.990149,11161583.89
Design,30067,17033.02657,512132010
Fashion,22812,4279.731233,97629228.88
Film & Video,62697,5532.57781,346876031
Food,24599,4209.934253,103560172.7
Games,35226,16306.19488,574402020.9
Journalism,4754,2156.54544,10252217.02
Music,49530,3356.870405,166265791.1
Photography,10778,2799.380219,30171720
Publishing,39379,2633.735852,103713884.1
Technology,32562,15457.30696,503320829.4
Theater,10912,3554.355087,38785122.71
Grand Total,374864,7036.728867,2637816330
